id,client_id,name,channel_id,language,subject,content,variable_schema,version,is_active,notification_type,created_at,updated_at
1,1,selection_call,2,en,,"Hello {{name}}, congratulations! You have been selected for the next round. Press 1 to confirm or press 2 to decline.",,1,True,,2026-03-26 16:12:40.598319,2026-03-26 16:12:40.598319
2,2,interview_call,2,en,,"Hello {{name}}, your interview is scheduled for tomorrow at 10 AM. Press 1 to confirm or press 2 to reschedule.",,1,True,,2026-03-26 16:12:40.598319,2026-03-26 16:12:40.598319
3,1,WA Payslip,4,en,,"Hi {{name}}, your monthly payslip from {{company}} is ready. Login to your portal to view details.",,1,True,payslip,2026-03-29 06:38:26.442605,2026-03-29 06:38:26.442605
4,1,WA Leave Approval,4,en,,"Hi {{name}}, your leave request at {{company}} has been approved. Enjoy your time off!",,1,True,leave_approval,2026-03-29 06:38:26.442605,2026-03-29 06:38:26.442605
5,1,WA Interview Confirm,4,en,,Great {{name}}! You are confirmed for {{chosen_slot}}. See you at {{company}}!,,1,True,confirmation,2026-03-29 06:38:26.442605,2026-03-29 06:38:26.442605
6,1,Voice Welcome,2,en,,"Hello {{name}}, you have a new opportunity waiting. Press 1 to accept or 2 to decline.",,1,True,invitation,2026-03-29 06:38:26.442605,2026-03-29 06:38:26.442605
7,1,Voice Interview,2,en,,"Hello {{name}}, please select your interview slot. Press 1 for the first option, or 2 for the second.",,1,True,interview,2026-03-29 06:38:26.442605,2026-03-29 06:38:26.442605
8,1,Voice Confirmation,2,en,,"Hello {{name}}, your appointment is confirmed. Thank you.",,1,True,confirmation,2026-03-29 06:38:26.442605,2026-03-29 06:38:26.442605
9,1,Email Welcome,5,en,,"Subject: Welcome to {{company}}

Dear {{name}},

We are thrilled to welcome you to {{company}}! Please confirm your joining by clicking the link below.

Best regards,
{{company}} Team",,1,True,invitation,2026-03-29 06:38:26.442605,2026-03-29 06:38:26.442605
10,1,Email Interview,5,en,,"Subject: Schedule Your Interview at {{company}}

Dear {{name}},

We would like to invite you for an interview at {{company}}. Please click below to select your preferred slot.

Best regards,
{{company}} HR Team",,1,True,interview,2026-03-29 06:38:26.442605,2026-03-29 06:38:26.442605
11,1,Email Payslip,5,en,,"Subject: Your Payslip for {{month}} - {{company}}

Dear {{name}},

Your payslip from {{company}} for {{month}} is now available. Please login to the employee portal to download it.

Best regards,
{{company}} Finance Team",,1,True,payslip,2026-03-29 06:38:26.442605,2026-03-29 06:38:26.442605
12,2,WA Welcome,4,en,,"Hi {{name}}, welcome to {{company}}! Reply YES to proceed or NO to decline.",,1,True,invitation,2026-03-29 06:38:26.442605,2026-03-29 06:38:26.442605
13,2,WA Interview Scheduling,4,en,,"Hi {{name}}, schedule your interview at {{company}}:
1. {{slot1}}
2. {{slot2}}
3. {{slot3}}
Reply 1, 2, or 3.",,1,True,interview,2026-03-29 06:38:26.442605,2026-03-29 06:38:26.442605
14,2,WA Interview Confirm,4,en,,Confirmed {{name}}! See you at {{chosen_slot}} at {{company}}.,,1,True,confirmation,2026-03-29 06:38:26.442605,2026-03-29 06:38:26.442605
15,2,Voice Welcome,2,en,,"Hello {{name}}, a new opportunity is waiting. Press 1 to accept or 2 to decline.",,1,True,invitation,2026-03-29 06:38:26.442605,2026-03-29 06:38:26.442605
16,2,Voice Interview,2,en,,"Hello {{name}}, please choose your interview slot. Press 1 or 2.",,1,True,interview,2026-03-29 06:38:26.442605,2026-03-29 06:38:26.442605
17,2,Email Welcome,5,en,,"Subject: Welcome to {{company}}

Dear {{name}},

Welcome to {{company}}! We look forward to working with you.

Best regards,
{{company}} Team",,1,True,invitation,2026-03-29 06:38:26.442605,2026-03-29 06:38:26.442605
18,2,Email Interview,5,en,,"Subject: Interview Invitation - {{company}}

Dear {{name}},

You are invited for an interview at {{company}}. Please select your preferred time slot.

Best regards,
{{company}} HR",,1,True,interview,2026-03-29 06:38:26.442605,2026-03-29 06:38:26.442605
